Timestamp,Sleep stage
1737374982,Deep
1737375012,Deep
1737375042,Deep
1737375072,Deep
1737375102,Deep
1737375132,Deep
1737375162,Deep
1737375192,Deep
1737375222,Deep
1737375252,Deep
1737375282,Deep
1737375312,Deep
1737375342,Deep
1737375372,Deep
1737375402,Deep
1737375432,Deep
1737375462,Deep
1737375492,Deep
1737375522,Deep
1737375552,Deep
1737375582,Deep
1737375612,Deep
1737375642,Deep
1737375672,Deep
1737375702,Deep
1737375732,Deep
1737375762,Deep
1737375792,Light
1737375822,Light
1737375852,Light
1737375882,Light
1737375912,Light
1737375942,Deep
1737375972,Deep
1737376002,Deep
1737376032,Deep
1737376062,Deep
1737376092,Deep
1737376122,Deep
1737376152,Deep
1737376182,Deep
1737376212,Deep
1737376242,Deep
1737376272,Deep
1737376302,Deep
1737376332,Deep
1737376362,Deep
1737376392,Deep
1737376422,Deep
1737376452,Deep
1737376482,Deep
1737376512,Deep
1737376542,Light
1737376572,Light
1737376602,Light
1737376632,Light
1737376662,Light
1737376692,Light
1737376722,Light
1737376752,Light
1737376782,Light
1737376812,Light
1737376842,Light
1737376872,Light
1737376902,Light
1737376932,Light
1737376962,REM
1737376992,REM
1737377022,REM
1737377052,REM
1737377082,REM
1737377112,REM
1737377142,REM
1737377172,REM
1737377202,REM
1737377232,REM
1737377262,REM
1737377292,REM
1737377322,REM
1737377352,REM
1737377382,REM
1737377412,REM
1737377442,REM
1737377472,REM
1737377502,REM
1737377532,REM
1737377562,REM
1737377592,REM
1737377622,REM
1737377652,REM
1737377682,REM
1737377712,REM
1737377742,REM
1737377772,REM
1737377802,REM
1737377832,REM
1737377862,REM
1737377892,REM
1737377922,REM
1737377952,REM
1737377982,REM
1737378012,REM
1737378042,REM
1737378072,REM
1737378102,REM
1737378132,REM
1737378162,REM
1737378192,REM
1737378222,REM
1737378252,REM
1737378282,REM
1737378312,REM
1737378342,REM
1737378372,REM
1737378402,REM
1737378432,REM
1737378462,REM
1737378492,REM
1737378522,REM
1737378552,REM
1737378582,REM
1737378612,Light
1737378642,Light
1737378672,Light
1737378702,Light
1737378732,Light
1737378762,Light
1737378792,Light
1737378822,Light
1737378852,Light
1737378882,Light
1737378912,Light
1737378942,Light
1737378972,Light
1737379002,Light
1737379032,Light
1737379062,Light
1737379092,Light
1737379122,Light
1737379152,Light
1737379182,Light
1737379212,Light
1737379242,Light
1737379272,Light
1737379302,Light
1737379332,Light
1737379362,Light
1737379392,Light
1737379422,Light
1737379452,Light
1737379482,Light
1737379512,Light
1737379542,Light
1737379572,Light
1737379602,Light
1737379632,Light
1737379662,Light
1737379692,Light
1737379722,Light
1737379752,Light
1737379782,Light
1737379812,Light
1737379842,Light
1737379872,Light
1737379902,Light
1737379932,Light
1737379962,Light
1737379992,Light
1737380022,Light
1737380052,Light
1737380082,Light
1737380112,Light
1737380142,Light
1737380172,Light
1737380202,Light
1737380232,Light
1737380262,Light
1737380292,Light
1737380322,Light
1737380352,Light
1737380382,Light
1737380412,Light
1737380442,Light
1737380472,Light
1737380502,Light
1737380532,Light
1737380562,Light
1737380592,Light
1737380622,Light
1737380652,Light
1737380682,Light
1737380712,Light
1737380742,Light
1737380772,Light
1737380802,Light
1737380832,Light
1737380862,Light
1737380892,Light
1737380922,Light
1737380952,Light
1737380982,Light
1737381012,Light
1737381042,Light
1737381072,Light
1737381102,Light
1737381132,Light
1737381162,Light
1737381192,Light
1737381222,Light
1737381252,Light
1737381282,Light
1737381312,Light
1737381342,Light
1737381372,Light
1737381402,Light
1737381432,Light
1737381462,Light
1737381492,Light
1737381522,Deep
1737381552,Deep
1737381582,Deep
1737381612,Deep
1737381642,Deep
1737381672,Deep
1737381702,Deep
