Epoch,Time_Hours,Ground_Truth_REM,YASA_Pred_REM_Original,YASA_Pred_REM_Optimized,REM_Probability,Above_Optimal_Threshold
0,0.0,0,0,0,0.002055800070989544,0
1,0.008333333333333333,0,0,0,0.002736541206642124,0
2,0.016666666666666666,0,0,0,0.0003054660239866645,0
3,0.025,0,0,0,0.0014589655989414503,0
4,0.03333333333333333,0,0,0,0.003967533950734805,0
5,0.041666666666666664,0,0,0,0.007372916152178328,0
6,0.05,0,0,0,0.004027565345487186,0
7,0.058333333333333334,0,0,0,0.002913765985369832,0
8,0.06666666666666667,0,0,0,0.0039475195931334,0
9,0.075,0,0,0,0.016515842140881438,0
10,0.08333333333333333,0,0,0,0.0396413189108982,0
11,0.09166666666666666,0,0,0,0.03752243824714932,0
12,0.1,0,0,0,0.007713462146620788,0
13,0.10833333333333334,0,0,0,0.003445073333102215,0
14,0.11666666666666667,0,0,0,0.00942298720360767,0
15,0.125,0,0,0,0.005365323887065859,0
16,0.13333333333333333,0,0,0,0.013883328288577681,0
17,0.14166666666666666,0,0,0,0.02892786296429952,0
18,0.15,0,0,0,0.039918084241376,0
19,0.15833333333333333,0,0,0,0.014158081452151229,0
20,0.16666666666666666,0,0,0,0.05754109424987414,0
21,0.175,0,0,0,0.03702381503712606,0
22,0.18333333333333332,0,0,0,0.03731906836870003,0
23,0.19166666666666668,0,0,0,0.0903939806661281,0
24,0.2,0,0,0,0.05422274179256778,0
25,0.20833333333333334,0,0,0,0.07188512653338784,0
26,0.21666666666666667,0,0,0,0.023502948032353147,0
27,0.225,0,0,0,0.016630305783122072,0
28,0.23333333333333334,0,0,0,0.031001959154375078,0
29,0.24166666666666667,0,0,0,0.03160758854024015,0
30,0.25,0,0,0,0.06959945914837296,0
31,0.25833333333333336,0,0,0,0.08507706624129349,0
32,0.26666666666666666,0,0,0,0.021026671994680085,0
33,0.275,0,0,0,0.030361846017865336,0
34,0.2833333333333333,0,0,0,0.018720369523655675,0
35,0.2916666666666667,0,0,0,0.020394879039259663,0
