epoch,accuracy,f1_metric,learning_rate,loss,precision,recall,val_accuracy,val_f1_metric,val_loss,val_precision,val_recall
0,0.5737018585205078,0.07284729927778244,9.999999747378752e-05,6.889097213745117,0.12433581054210663,0.37620580196380615,0.9907010197639465,0.0,0.15462377667427063,0.0,0.0
1,0.5812395215034485,0.07436461001634598,9.999999747378752e-05,6.855901718139648,0.13850997388362885,0.4244372844696045,0.009298998862504959,0.009298998862504959,0.16431966423988342,0.009298998862504959,1.0
2,0.5552763938903809,0.07761337608098984,9.999999747378752e-05,6.546132564544678,0.13508260250091553,0.44694533944129944,0.009298998862504959,0.009298998862504959,0.176907479763031,0.009298998862504959,1.0
3,0.5422948002815247,0.08134491741657257,9.999999747378752e-05,7.613672256469727,0.13594040274620056,0.469453364610672,0.009298998862504959,0.009298998862504959,0.18069729208946228,0.009298998862504959,1.0
4,0.534757137298584,0.08100832253694534,9.999999747378752e-05,5.251402854919434,0.1282527893781662,0.4437299072742462,0.0104434909299016,0.009289915673434734,0.18342822790145874,0.009169054217636585,0.9846153855323792
5,0.5251256227493286,0.08198098838329315,9.999999747378752e-05,6.714379787445068,0.13160251080989838,0.4726687967777252,0.9450643658638,0.0007522500236518681,0.15635086596012115,0.006191950291395187,0.03076923079788685
6,0.5259631276130676,0.08118846267461777,9.999999747378752e-05,5.530958652496338,0.13183856010437012,0.4726687967777252,0.020314734429121017,0.00925812404602766,0.18929138779640198,0.009260599501430988,0.9846153855323792
7,0.5020937919616699,0.08563223481178284,9.999999747378752e-05,5.427097320556641,0.13232830166816711,0.5080385804176331,0.03290414810180664,0.009207134135067463,0.19978272914886475,0.00923618208616972,0.9692307710647583
8,0.4761306643486023,0.08840744197368622,9.999999747378752e-05,6.353225231170654,0.11974109709262848,0.47588425874710083,0.9783977270126343,0.00023006413539405912,0.15232709050178528,0.0,0.0
9,0.46063652634620667,0.09054848551750183,9.999999747378752e-05,4.986326694488525,0.12624330818653107,0.5305466055870056,0.03104434907436371,0.009214315563440323,0.4711553156375885,0.009218612685799599,0.9692307710647583
10,0.4627303183078766,0.09110453724861145,9.999999747378752e-05,4.973677635192871,0.12383900582790375,0.5144694447517395,0.039341915398836136,0.009167030453681946,0.2557486295700073,0.009297520853579044,0.9692307710647583
11,0.45770519971847534,0.09224552661180496,9.999999747378752e-05,5.517754554748535,0.13063062727451324,0.5594855546951294,0.9905579686164856,8.670393981446978e-06,0.12129001319408417,0.0,0.0
12,0.46775543689727783,0.0936942845582962,9.999999747378752e-05,4.691769599914551,0.13800905644893646,0.5884244441986084,0.9905579686164856,8.670393981446978e-06,0.11998417973518372,0.0,0.0
13,0.4493299722671509,0.0950661301612854,9.999999747378752e-05,3.8303287029266357,0.13936781883239746,0.6237941980361938,0.018597997725009918,0.00926706101745367,0.26937487721443176,0.009244547225534916,0.9846153855323792
14,0.42252930998802185,0.09498685598373413,9.999999747378752e-05,5.1238274574279785,0.12073863297700882,0.5466237664222717,0.9907010197639465,0.0,0.1256100833415985,0.0,0.0
15,0.42294806241989136,0.09756796807050705,9.999999747378752e-05,4.150899887084961,0.13282862305641174,0.6205787658691406,0.03862661123275757,0.009169836528599262,0.24246379733085632,0.0092906653881073,0.9692307710647583
