Epoch,Time_Hours,Ground_Truth,YASA_Raw,YASA_Mapped,Correct,YASA_Confidence
100,0.8333333333333334,Deep,N2,Light,0,0.8064584460895995
101,0.8416666666666667,Deep,N2,Light,0,0.8567385780964072
102,0.85,Deep,N2,Light,0,0.7237653169866468
103,0.8583333333333333,Deep,N2,Light,0,0.6580502183518366
104,0.8666666666666667,Deep,N2,Light,0,0.6466540888805224
105,0.875,Deep,N2,Light,0,0.6599452451418735
106,0.8833333333333333,Deep,N2,Light,0,0.5206355857785073
107,0.8916666666666667,Deep,N2,Light,0,0.6804172425494741
108,0.9,Deep,N2,Light,0,0.6212905090246452
109,0.9083333333333333,Deep,N2,Light,0,0.5522898254498708
110,0.9166666666666666,Deep,N2,Light,0,0.5345174077831375
111,0.925,Deep,N2,Light,0,0.5469497843681222
112,0.9333333333333333,Deep,N2,Light,0,0.5693077850653865
113,0.9416666666666667,Deep,N3,Deep,1,0.5423185083240093
114,0.95,Deep,N3,Deep,1,0.620856903255926
115,0.9583333333333334,Deep,N3,Deep,1,0.6686910418773816
116,0.9666666666666667,Deep,N3,Deep,1,0.5786954245130428
117,0.975,Deep,N3,Deep,1,0.716955576041786
118,0.9833333333333333,Deep,N3,Deep,1,0.6753579663907938
119,0.9916666666666667,Deep,N3,Deep,1,0.5675445300126667
120,1.0,Deep,N3,Deep,1,0.5130823574434706
121,1.0083333333333333,Deep,N3,Deep,1,0.5209377914267548
122,1.0166666666666666,Deep,N3,Deep,1,0.52018413293232
123,1.025,Deep,N3,Deep,1,0.633149491625152
124,1.0333333333333334,Deep,N3,Deep,1,0.5514200062704457
125,1.0416666666666667,Deep,N3,Deep,1,0.5562331366101436
126,1.05,Deep,N2,Light,0,0.5961115930298622
127,1.0583333333333333,Deep,N2,Light,0,0.5364361588126842
128,1.0666666666666667,Deep,N3,Deep,1,0.5398442113541204
129,1.075,Deep,N2,Light,0,0.643660896756776
130,1.0833333333333333,Deep,N2,Light,0,0.7171544712861461
131,1.0916666666666666,Deep,N2,Light,0,0.7009666301632443
132,1.1,Deep,N2,Light,0,0.6474121889864489
133,1.1083333333333334,Deep,N2,Light,0,0.6219579810389796
134,1.1166666666666667,Light,N2,Light,1,0.5404908753800668
135,1.125,Light,N2,Light,1,0.6788985844920924
136,1.1333333333333333,Light,N2,Light,1,0.727513279286474
137,1.1416666666666666,Light,N2,Light,1,0.7558637005022365
138,1.15,Light,N2,Light,1,0.6806219461687874
139,1.1583333333333334,Light,N2,Light,1,0.4715293777510274
140,1.1666666666666667,Light,N2,Light,1,0.4525353425250915
141,1.175,Light,W,Wake,0,0.3358822234247272
142,1.1833333333333333,Light,W,Wake,0,0.47751824516104563
143,1.1916666666666667,Light,W,Wake,0,0.43999055395683717
144,1.2,Light,W,Wake,0,0.4882598415185663
145,1.2083333333333333,Light,R,REM,0,0.4853534868602219
146,1.2166666666666666,Light,W,Wake,0,0.3331901828913898
147,1.225,Light,W,Wake,0,0.30545834242927694
148,1.2333333333333334,Light,W,Wake,0,0.374533112434068
149,1.2416666666666667,Light,R,REM,0,0.424490615590061
150,1.25,Light,R,REM,0,0.4621529859572345
151,1.2583333333333333,Light,W,Wake,0,0.3484099635882414
152,1.2666666666666666,Light,W,Wake,0,0.4003998940155575
153,1.275,Light,W,Wake,0,0.6326223101956616
154,1.2833333333333334,Light,W,Wake,0,0.6262725558950624
155,1.2916666666666667,Light,W,Wake,0,0.49403599759671196
156,1.3,Light,W,Wake,0,0.6701260068884161
157,1.3083333333333333,Light,W,Wake,0,0.7157052242224927
158,1.3166666666666667,Light,W,Wake,0,0.8135230229913006
159,1.325,Light,W,Wake,0,0.6404592603820013
160,1.3333333333333333,Light,W,Wake,0,0.6179965414612141
161,1.3416666666666666,Light,W,Wake,0,0.5625790466113376
162,1.35,Light,W,Wake,0,0.5943942663768359
163,1.3583333333333334,Light,N2,Light,1,0.3835166002342615
164,1.3666666666666667,Light,W,Wake,0,0.45223071602774545
165,1.375,Light,W,Wake,0,0.3835069542594143
166,1.3833333333333333,Light,N2,Light,1,0.37555117342007055
167,1.3916666666666666,Light,N2,Light,1,0.5536552586208376
168,1.4,Light,N2,Light,1,0.5898509254757549
169,1.4083333333333334,Light,N2,Light,1,0.4198122082475762
170,1.4166666666666667,Light,N2,Light,1,0.5004454268012535
171,1.425,Light,N2,Light,1,0.4149374120034937
172,1.4333333333333333,Light,W,Wake,0,0.4517295706566688
173,1.4416666666666667,Light,W,Wake,0,0.42973363434571366
174,1.45,Light,N2,Light,1,0.676463939562317
175,1.4583333333333333,Light,N2,Light,1,0.49687468075403013
176,1.4666666666666666,Light,W,Wake,0,0.7194281731380425
177,1.475,Light,W,Wake,0,0.3699287283010759
178,1.4833333333333334,Light,N2,Light,1,0.41084661760611385
179,1.4916666666666667,Light,N2,Light,1,0.5705670488634706
180,1.5,Light,N2,Light,1,0.8043161594301308
181,1.5083333333333333,Light,N2,Light,1,0.467257338431098
182,1.5166666666666666,Light,N2,Light,1,0.5661354104193614
183,1.525,Light,N2,Light,1,0.5485386013390773
184,1.5333333333333334,Light,N1,Light,1,0.429959691109117
185,1.5416666666666667,Light,N2,Light,1,0.4755399026749366
186,1.55,Light,N2,Light,1,0.5121704839848176
187,1.5583333333333333,Light,N2,Light,1,0.38296165570874796
188,1.5666666666666667,Light,W,Wake,0,0.6116511454944917
189,1.575,Light,N2,Light,1,0.6266062993272881
190,1.5833333333333333,Light,N1,Light,1,0.40772132357826907
191,1.5916666666666666,Light,N1,Light,1,0.509318909256211
192,1.6,Light,N1,Light,1,0.41378591531954517
193,1.6083333333333334,Light,N1,Light,1,0.42509415603890277
194,1.6166666666666667,Light,W,Wake,0,0.38086329638947003
195,1.625,Light,N2,Light,1,0.4375816713908804
196,1.6333333333333333,Light,N2,Light,1,0.4594457024509717
197,1.6416666666666666,Light,N2,Light,1,0.5588208978370717
198,1.65,Light,N2,Light,1,0.5635050748909337
199,1.6583333333333334,Light,N1,Light,1,0.444883980685417
200,1.6666666666666667,Light,N2,Light,1,0.6059345312421877
201,1.675,Light,N2,Light,1,0.6057892531630221
202,1.6833333333333333,Light,N2,Light,1,0.5549314382719333
203,1.6916666666666667,Light,N2,Light,1,0.5410519895105104
204,1.7,Deep,N2,Light,0,0.45071623283401935
205,1.7083333333333333,Deep,N2,Light,0,0.6444017988021916
206,1.7166666666666666,Deep,N2,Light,0,0.49748609881873984
207,1.725,Deep,N2,Light,0,0.7964686891699932
208,1.7333333333333334,Deep,N2,Light,0,0.6713505746368941
209,1.7416666666666667,Deep,N2,Light,0,0.7084909681685887
210,1.75,Deep,N2,Light,0,0.8088501459213331
211,1.7583333333333333,Deep,N2,Light,0,0.8890594186678281
