Epoch,Stage,Confidence
0,0,0.8386048880806838
1,3,0.39971265282479973
2,3,0.7316135033308587
3,3,0.5826454352386427
4,0,0.6487552717490768
5,0,0.4611597894081726
6,3,0.4646925903182893
7,0,0.5550678346302363
8,0,0.7296685814111992
9,0,0.5704894341475951
10,0,0.5349263222731709
11,0,0.36909392743127334
12,2,0.6371800590128495
13,2,0.7084397849569265
14,2,0.803274255495126
15,2,0.6626401980859965
16,2,0.7098162352932551
17,2,0.764312502342754
18,2,0.7242457136226571
19,2,0.7118764428311024
20,2,0.6550524700965611
21,2,0.73583374241975
22,2,0.8219327033639089
23,2,0.7053676312231072
24,2,0.7406194770468157
25,2,0.6920585587257981
26,2,0.8334617482991853
27,2,0.8477550273236254
28,2,0.8047913123009468
29,2,0.8088023916849368
30,2,0.7952609787968654
31,2,0.7686978031851683
32,2,0.8746723052270825
33,2,0.8499420113396856
34,2,0.8653495185394389
35,2,0.8637242212497271
36,2,0.8545763554928508
37,2,0.851157834819205
38,2,0.8841162098564077
39,2,0.9011199327015451
40,2,0.8493151949324301
41,2,0.8389878660714918
42,2,0.8660231203321855
43,2,0.9064845605116536
44,2,0.8846655942385815
45,2,0.8577759960963983
46,2,0.8943915295557285
47,2,0.8801866121151851
48,2,0.7998650079525044
49,2,0.7896601495230973
50,2,0.7944728093599973
51,2,0.7808342528559329
52,2,0.785532610429261
53,2,0.7813950780705259
54,2,0.7109780610517744
55,2,0.7783916793894493
56,2,0.7264217670275414
57,2,0.7717701869392035
58,2,0.7296009291563673
59,2,0.7760673162478556
60,2,0.8115311821705871
61,2,0.7367883107403647
62,2,0.7166734355826851
63,2,0.717693233996091
64,2,0.7307116672787285
65,2,0.7522420407185005
66,2,0.8350847435947739
67,2,0.8447186926235456
68,2,0.7695697411561474
69,2,0.8189125209311819
70,2,0.87230097420015
71,2,0.7492304801205552
72,2,0.8409079212689685
73,2,0.8347633218808029
74,2,0.7070838580910614
75,2,0.8389487010052019
76,2,0.5360978460008079
77,2,0.5373266657214366
78,2,0.5509141265018707
79,2,0.5751147343123555
80,2,0.7277286162155435
81,2,0.8439010397894235
82,2,0.8569571670374011
83,2,0.8540757599187839
84,2,0.8485431318213545
85,2,0.8426016640568778
86,2,0.9128627830071698
87,2,0.8060057369204124
88,2,0.9081728296776056
89,2,0.8628153033096018
90,2,0.8249710612684448
91,2,0.8693963777846253
92,2,0.8397576449786989
93,2,0.8202368457502686
94,2,0.8715962014003165
95,2,0.8433225681953649
96,2,0.8469092483264075
97,2,0.8658248391517198
98,2,0.8134548953044122
99,2,0.8584835891349587
100,2,0.8064584460895995
101,2,0.8567385780964072
102,2,0.7237653169866468
103,2,0.6580502183518366
104,2,0.6466540888805224
105,2,0.6599452451418735
106,2,0.5206355857785073
107,2,0.6804172425494741
108,2,0.6212905090246452
109,2,0.5522898254498708
110,2,0.5345174077831375
111,2,0.5469497843681222
112,2,0.5693077850653865
113,3,0.5423185083240093
114,3,0.620856903255926
115,3,0.6686910418773816
116,3,0.5786954245130428
117,3,0.716955576041786
118,3,0.6753579663907938
119,3,0.5675445300126667
120,3,0.5130823574434706
121,3,0.5209377914267548
122,3,0.52018413293232
123,3,0.633149491625152
124,3,0.5514200062704457
125,3,0.5562331366101436
126,2,0.5961115930298622
127,2,0.5364361588126842
128,3,0.5398442113541204
129,2,0.643660896756776
130,2,0.7171544712861461
131,2,0.7009666301632443
132,2,0.6474121889864489
133,2,0.6219579810389796
134,2,0.5404908753800668
135,2,0.6788985844920924
136,2,0.727513279286474
137,2,0.7558637005022365
138,2,0.6806219461687874
139,2,0.4715293777510274
140,2,0.4525353425250915
141,0,0.3358822234247272
142,0,0.47751824516104563
143,0,0.43999055395683717
144,0,0.4882598415185663
145,4,0.4853534868602219
146,0,0.3331901828913898
147,0,0.30545834242927694
148,0,0.374533112434068
149,4,0.424490615590061
150,4,0.4621529859572345
151,0,0.3484099635882414
152,0,0.4003998940155575
153,0,0.6326223101956616
154,0,0.6262725558950624
155,0,0.49403599759671196
156,0,0.6701260068884161
157,0,0.7157052242224927
158,0,0.8135230229913006
159,0,0.6404592603820013
160,0,0.6179965414612141
161,0,0.5625790466113376
162,0,0.5943942663768359
163,2,0.3835166002342615
164,0,0.45223071602774545
165,0,0.3835069542594143
166,2,0.37555117342007055
167,2,0.5536552586208376
168,2,0.5898509254757549
169,2,0.4198122082475762
170,2,0.5004454268012535
171,2,0.4149374120034937
