epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.45841678977012634,0.0010000000474974513,0.9358150362968445,0.008975712582468987,0.5177664756774902,0.9907010197639465,0.10401208698749542,0.0,0.0
1,0.4585598409175873,0.0010000000474974513,0.8355453610420227,0.00854550302028656,0.49238577485084534,0.9907010197639465,0.0632910504937172,0.0,0.0
2,0.5002861022949219,0.0010000000474974513,0.7964268922805786,0.008978032507002354,0.4771573543548584,0.009442060254514217,4.817169189453125,0.00930032879114151,1.0
3,0.5083929300308228,0.0010000000474974513,0.7543730735778809,0.010172447189688683,0.5329949259757996,0.9905579686164856,0.36587944626808167,0.0,0.0
4,0.4983309507369995,0.0010000000474974513,0.7525532245635986,0.00838175043463707,0.4467005133628845,0.03390558063983917,1.2072463035583496,0.009245670400559902,0.9692307710647583
5,0.46523603796958923,0.0010000000474974513,0.723598301410675,0.009789089672267437,0.5583756566047668,0.9907010197639465,0.05880125239491463,0.0,0.0
6,0.5044825673103333,0.0010000000474974513,0.7155695557594299,0.009337697178125381,0.49238577485084534,0.9907010197639465,0.16006042063236237,0.0,0.0
7,0.4733428657054901,0.0010000000474974513,0.7366408109664917,0.00842925813049078,0.4720812141895294,0.9907010197639465,0.056634385138750076,0.0,0.0
8,0.4874105751514435,0.0010000000474974513,0.7090955376625061,0.010211659595370293,0.5583756566047668,0.9907010197639465,0.39377716183662415,0.0,0.0
9,0.4516451954841614,0.0010000000474974513,0.6944238543510437,0.009972251020371914,0.5837563276290894,0.9907010197639465,0.0778052806854248,0.0,0.0
10,0.4243204593658447,0.0010000000474974513,0.7188611030578613,0.00893226359039545,0.5482233762741089,0.9907010197639465,0.29909178614616394,0.0,0.0
11,0.38168811798095703,0.0010000000474974513,0.7151938676834106,0.009676676243543625,0.6395938992500305,0.9907010197639465,0.07646050304174423,0.0,0.0
